epoch,g_loss,d_loss,l1,adversarial,perceptual,feature_matching,gradient,val_l1,seconds
1,65.6049599647522,0.08337681075930595,0.326378700658679,3.074769958496094,3.0408113366365432,0.4066594269424677,0.09725931167602539,0.44388605674107867,304.54905462265015
2,66.21636307907104,0.10423197075724602,0.3136272960305214,3.5676941146850587,3.164316745996475,0.391521967664361,0.10000490121915936,0.44981089599927265,294.18183636665344
3,64.73595548248291,0.028511707007884978,0.29659039052575825,4.34138916015625,3.077800366163254,0.3986653916537762,0.09513387763500214,0.45875137400627136,289.00646448135376
4,63.77350314331055,0.03575927832722664,0.2897443595081568,4.116445434570313,3.0656619540452956,0.3922683697044849,0.09491028497554362,0.44588785314559937,293.88348937034607
5,64.05005234336853,0.06706198942661286,0.2867060723975301,3.97238427734375,3.137830945134163,0.38144421495497227,0.09742153305187821,0.44667166050275164,294.0930621623993
6,63.19675844764709,0.034519200265407564,0.2804786177277565,4.1290830078125,3.092025874614716,0.37999497132003307,0.09545886851660908,0.4310111347039541,293.4175205230713
7,61.791375787734985,0.010318087935447693,0.27400902163982394,4.4254931640625,2.9710393609404564,0.39150319910049436,0.0909867615494877,0.43885312271118165,293.3438858985901
8,62.03624248313904,0.019154820382595063,0.27166204830259083,4.5864873046875,2.996049684226513,0.3926992900818586,0.09146507323347032,0.415216987768809,291.9886848926544
9,62.53332304954529,0.05514729070663452,0.2711591313481331,3.794832275390625,3.1398002849817277,0.3700809168666601,0.0973474034331739,0.4305794577598572,290.5485682487488
10,61.10684446334839,0.006037737220525741,0.26590622040629386,4.4972568359375,2.9666944794654846,0.3854047914147377,0.09080485858954489,0.43188969524701437,292.1133940219879
11,61.18143146705627,0.010202311158180237,0.26345752377063036,4.6587802734375,2.9717107704877854,0.39178607998788356,0.09055403788015247,0.4279630997180939,293.860803604126
12,63.21579460334778,0.13515115970373154,0.27079498971253635,2.833356979370117,3.314551745176315,0.34965966960787775,0.10383621023967862,0.4433510612646739,293.58606934547424
13,62.01517863273621,0.06285214629769326,0.26467878138273954,3.1940302734375,3.212269132256508,0.3530511122494936,0.09968216691166162,0.43430394458770755,293.2962622642517
14,59.799669895172116,0.005211861819028854,0.2581463660076261,3.8854169921875,2.9745680998563766,0.3693423841446638,0.0911719347499311,0.4279244831403097,292.90893363952637
15,60.377730812072755,0.007475959479808807,0.25755045521259307,4.59819140625,2.957479593634605,0.37913726504147055,0.09046671650372445,0.4231315105756124,293.42459535598755
16,60.20495906639099,0.013733662098646165,0.25664814993739127,4.23376220703125,2.9853066469430924,0.3756739081144333,0.09147696170210838,0.4293044857978821,293.7120795249939
17,61.31082435798645,0.05774536103010178,0.25845943503826857,3.41224609375,3.1729455189704896,0.3534721067994833,0.09788235297985375,0.4321174805959066,295.1341540813446
18,59.900957317352294,0.005403645545244217,0.25372126733511685,4.3073271484375,2.976394042789936,0.3706894052326679,0.0912547084596008,0.4318402862548828,294.4500138759613
19,60.203552276611326,0.00813681298494339,0.2527332609333098,4.6769140625,2.971449688613415,0.3772980228662491,0.09102501064911485,0.4320830847422282,293.7061195373535
20,60.08360210418701,0.03124920201301575,0.25285563176125286,3.69265185546875,3.068911752343178,0.35872765827178954,0.09430527968890964,0.4308684008916219,293.8161244392395
21,59.46854301071167,0.006968490719795227,0.2508786179050803,4.17394287109375,2.9702037499547003,0.3697490272074938,0.09123914110288024,0.4347715248266856,293.18169140815735
22,59.961960428237916,0.012157036781311035,0.2494953278824687,4.5281630859375,2.9899312376379967,0.37429044015705587,0.09159771523997187,0.4409220782121023,293.3525016307831
23,61.65157960128784,0.10359894609451294,0.2543635654076934,2.88138818359375,3.29699008333683,0.3407000968754291,0.10221021835505963,0.4394017647107442,295.28409337997437
24,60.52852258300781,0.051082320779562,0.2503418308496475,3.399676513671875,3.169103902101517,0.3457611778229475,0.09764244019240141,0.43703032088279725,294.59698128700256
25,59.293496141433714,0.006620620191097259,0.2453742554411292,4.3261708984375,2.9874350802898406,0.36319841380417345,0.09155248919688165,0.43502306938171387,294.2295515537262
26,59.97763371276856,0.029689245641231536,0.2467269276380539,4.220369384765625,3.05062085968256,0.36352656380832193,0.09388179046101869,0.43623764355977374,294.2341320514679
27,61.4180255241394,0.09209555596113204,0.2502599046379328,2.910726806640625,3.3064456367492676,0.33874122355878356,0.10173188731074333,0.4445696108341217,294.8479402065277
28,60.04993426322937,0.048888264775276184,0.2458421320170164,3.420316650390625,3.156545652627945,0.34539259544014933,0.09714322856813669,0.4380897715886434,296.31699419021606
29,59.17712093448639,0.010330520004034043,0.24194951361790298,4.1812421875,3.0186604342460632,0.3595705294460058,0.09288040182553231,0.4438318851788839,296.25828647613525
30,60.48295857810974,0.05781215167045593,0.24451950164884328,3.55509619140625,3.1922844632864,0.34781277751922607,0.09826648678071796,0.43923293582598366,296.80682373046875
